No.,診療所名,診療所名_カナ,医療機関の種類,所在地,電話番号,診療科目,病床数,緯度,経度,
157,坪川内科医院,ツボカワナイカイイン,一般診療所,福井県福井市若杉浜１丁目７０７,0776-35-6100,内科、呼吸器内科、循環器内科、消化器内科、放射線科,0,36.06261755,136.1895856,
158,TCB　東京中央美容外科・TCB　スキンクリニック　福井院,ティーシービートウキョウチュウオウビヨウゲカティーシービースキンクリニックフクイイン,一般診療所,福井県福井市中央１丁目３番３号　ＫＩビル３階,0776-97-9137,皮膚科、形成外科、美容外科、その他の科(美容皮膚科),0,36.062073,136.22165,
159,寺尾小児科医院,テラオショウニカイイン,一般診療所,福井県福井市大宮 3丁目26-10,0776-21-2121,内科、アレルギー科、小児科,0,36.08226605,136.2093706,
160,堂下医院,ドウシタイイン,一般診療所,福井県福井市西中野町 3-52-2,0776-83-1113,整形外科,0,36.14543416,136.1560399,
161,ドクター・ズー,ドクターズー,一般診療所,福井県福井市四ツ井 1丁目22-22,0776-54-8833,内科、消化器内科、心療内科,0,36.06579509,136.23957,
162,とくだ耳鼻咽喉科,トクダジビインコウカ,一般診療所,福井県福井市花堂中 2丁目28-1,0776-33-1187,耳鼻いんこう科,0,36.03645793,136.2129326,
163,得田内科医院,トクダナイカイイン,一般診療所,福井県福井市文京 1丁目19-24,0776-27-2608,内科、神経内科、呼吸器科、消化器科、循環器科,0,36.077669,136.2227741,
164,特別養護老人ホーム　レインボー二の宮　医務室,トクベツヨウゴロウジンホーム　レインボーニノミヤ　イムシツ,一般診療所,福井県福井市二の宮２丁目８－２１,0776-21-2821,内科、外科,0,36.08460214,136.2247836,
165,冨澤クリニック,トミザワクリニック,一般診療所,福井県福井市砂子坂町 15-26,0776-83-0043,内科、小児科、リハビリテーション科、呼吸器科、消化器科、循環器科,0,36.14532659,136.1508852,
166,中永医院,ナカナガイイン,一般診療所,福井県福井市順化 1丁目18-17,0776-22-6437,内科、小児科、消化器科、胃腸科,5,36.06631199,136.216158,
167,なかふじ整形外科,ナカフジセイケイゲカ,一般診療所,福井県福井市高柳3-904-1,0776-53-1880,整形外科、リハビリテーション科,0,36.09576679,136.2399039,
168,南場小児科医院,ナンバショウニカイイン,一般診療所,福井県福井市新田塚町 418,0776-21-7810,小児科,0,36.08857381,136.2104569,
169,丹尾医院,ニオイイン,一般診療所,福井県福井市松本 4-2-6,0776-22-2978,内科、小児科、眼科、呼吸器科、消化器科、循環器科,0,36.07084982,136.2189893,
170,西ウイミンズクリニック,ニシウイミンズクリニック,一般診療所,福井県福井市木田 2-2102,0776-33-3663,内科、産婦人科,0,36.04632243,136.226469,
171,西浦医院,ニシウライイン,一般診療所,福井県福井市つくも２丁目５－４,0776-36-6682,内科,0,36.06179037,136.2092028,
172,にしむら皮フ科クリニック,ニシムラヒフカクリニック,一般診療所,福井県福井市木田 3丁目2605番,0776-36-4112,皮膚科、アレルギー科、形成外科,0,36.04297294,136.2264514,
173,二の宮アイビジョンクリニック,ニノミヤアイビジョンクリニック,一般診療所,福井県福井市二の宮 2-28-26,090-1748-2784,眼科,0,36.08762322,136.2233646,
174,パークスみなみ　医務室,パークスミナミ　イムシツ,一般診療所,福井県福井市今市町６５－１１－１,0776-38-8850,内科,0,36.0221032,136.2097373,
175,長谷川医院,ハセガワイイン,一般診療所,福井県福井市松本４丁目４－２４,0776-22-7441,精神科、心療内科,0,36.071346,136.2203093,
176,パナソニック森田健康管理室,パナソニックモリタケンコウカンリシツ,一般診療所,福井県福井市定正町 401,0776ｰ56ｰ8010,内科,0,36.12045437,136.2258458,
177,英内科医院,ハナブサナイカイイン,一般診療所,福井県福井市大宮２丁目６-２１,0776-22-1602,内科,0,36.08058526,136.2170653,
178,はまだ内科クリニック,ハマダナイカクリニック,一般診療所,福井県福井市開発 １丁目２０３,0776-97-5820,内科,0,36.07616301,136.2391124,
179,林小児科クリニック,ハヤシショウニカクリニック,一般診療所,福井県福井市西谷 1丁目1212,0776-36-8843,小児科,0,36.03801558,136.2067203,
180,平井内科クリニック,ヒライナイカクリニック,一般診療所,福井県福井市みのり 3丁目21-5,0776-33-7808,内科、呼吸器科、消化器科,0,36.04838429,136.2094478,
181,ひらい内科消化器科医院,ヒライナイカショウカキカイイン,一般診療所,福井県福井市渕 4丁目1813番地,0776-33-6881,内科、小児科、リハビリテーション科、消化器科、循環器科,19,36.04555978,136.182219,
182,平沢内科医院,ヒラサワナイカイイン,一般診療所,福井県福井市花堂中 2-25-10,0776-35-1422,内科、循環器科,0,36.03689265,136.212982,
183,ひらざわ内科ハートクリニック,ヒラザワナイカハートクリニック,一般診療所,福井県福井市西谷２－２１１３,0776-35-8822,内科、循環器内科、その他の科(糖尿病・代謝内科),0,36.03937328,136.2028308,
184,平谷こども発達クリニック,ヒラタニコドモハッタツクリニック,一般診療所,福井県福井市北四ツ居 2丁目14-1409,0776-54-9600,アレルギー科、小児科、精神科,0,36.06701499,136.2480602,
185,広瀬眼科,ヒロセガンカ,一般診療所,福井県福井市高木中央２丁目２５１５,0776-50-2759,眼科,0,36.09325722,136.2368441,
186,ヒロセクリニック,ヒロセクリニック,一般診療所,福井県福井市大手 2丁目4-26 白沢ビル3階,0776-21-2456,精神科、心療内科,0,36.06361126,136.2234349,
187,福井アットホームクリニック,フクイアットホームクリニック,一般診療所,福井県福井市福井市里別所新町６１４　第２ＨＫハウス２１０号室,070-9167-9253,内科、小児科,0,36.08876,136.19798,
188,ふくい輝クリニック,フクイカガヤキクリニック,一般診療所,福井県福井市大願寺２丁目９－１６,0776-50-2510,婦人科,0,36.08432785,136.2288703,
189,福井県健康管理協会巡回診療所,フクイケンケンコウカンチリキョウカイジュカイシンリョウショ,一般診療所,福井県福井市真栗町４７-４８,0776-98-8000,内科、外科、婦人科、放射線科,0,36.01480912,136.1394864,
190,福井県こども急患センター,フクイケンコドモキュウカンセンター,一般診療所,福井県福井市城東４丁目１４－３０,0776-26-8800,小児科,0,36.05897506,136.23717,
191,福井県農業会館診療所,フクイケンノウギョウカイカンシンリョウショ,一般診療所,福井県福井市大手 3丁目2-18 農業会館6階,0776-27-8290,内科、呼吸器内科、消化器内科、外科,0,36.06344595,136.2211534,
192,福井心のクリニック,フクイココロノクリニック,一般診療所,福井県福井市手寄1丁目4番1号AOSSA 2階,0776-25-7777,神経内科、精神科,0,36.06057816,136.2234614,
193,福井市医師会住民健診センター巡回診療所,フクイシイシカイジュウミンケンシセンタージュンカイシンリョウショ,一般診療所,福井県福井市大願寺３丁目４番１０号,0776-22-8467,内科,0,36.08180791,136.2270904,
194,福井市休日急患センター,フクイシキュウジツキュウカンセンター,一般診療所,福井県福井市城東 4-14-30,0776-22-2099,内科,0,36.05897506,136.23717,
195,福井市健康管理センター,フクイシケンコウカンリセンター,一般診療所,福井県福井市城東 4-14-30,0776-28-1256,内科、小児科、産婦人科、その他の科(歯科),0,36.05897506,136.23717,
196,福井市職員診療所,フクイシショクインシンリョウジョ,一般診療所,福井県福井市大手 3-10-1,0776-20-5375,内科,0,36.06405217,136.2190096,
197,福井市保健所,フクイシホケンジョ,一般診療所,福井県福井市西木田２丁目８－８福井健康福祉センター内,0776-33-5182,内科、小児科,0,36.05462928,136.2138418,
198,福井市美山診療所,ﾌｸｲｼﾐﾔﾏｼﾝﾘｮｳｼﾞｮ,一般診療所,福井県福井市美山町 7-1,0776-90-1160,内科、リハビリテーション科,0,35.99871316,136.3606819,
199,福井総合クリニック,フクイソウゴウクリニック,一般診療所,福井県福井市新田塚 1丁目42-1,0776-21-1300,内科、呼吸器内科、循環器内科、消化器内科、腎臓内科、神経内科、糖尿病内科、皮膚科、アレルギー科、リウマチ科、小児科、外科、呼吸器外科、消化器外科、泌尿器科、肛門外科、脳神経外科、整形外科、形成外科、眼科、耳鼻いんこう科、産婦人科、リハビリテーション科、放射線科、麻酔科、歯科、歯科口腔外科、その他の科(内分泌内科),19,36.09274511,136.2055764,
200,ふくい内視鏡・胃腸クリニック,フクイナイシキョウイチョウクリニック,一般診療所,福井県福井市宝永１丁目３５－１２,0776-50-0127,内視鏡内科、消化器内科、内科,0,36.070775,136.228913,
201,ふくいはるえ内科・泌尿器科クリニック,フクイハルエナイカヒニョウキカクリニック,一般診療所,福井県福井市栗森２丁目１０６,0776-58-2986,内科・泌尿器科・腎臓内科,0,36.118646,136.237567,
202,ふくい南アイクリニック,フクイミナミアイクリニック,一般診療所,福井県福井市下馬 3丁目1815番地,0776-36-5278,眼科,0,36.03917599,136.236945,
203,福島泌尿器科医院,フクシマヒニョウキカイイン,一般診療所,福井県福井市新田塚町 408,0776-25-1213,内科、泌尿器科、その他の科(人工透析内科),15,36.08824881,136.2117171,
204,ふくのレディースクリニック,フクノレディースクリニック,一般診療所,福井県福井市開発５丁目６０６,0776-52-3600,婦人科,0,36.08683245,136.2397715,
205,福山医院,フクヤマイイン,一般診療所,福井県福井市安原町 1-11-1,0776-41-0027,内科、アレルギー科、リウマチ科、小児科、呼吸器科、胃腸科、循環器科,0,36.0167813,136.2756003,
206,ふじい眼科クリニック,フジイガンカクリニック,一般診療所,福井県福井市二の宮 2丁目27-28,0776-23-2211,眼科,0,36.08753087,136.2216471,
207,ふじさわ小児科医院,フジサワショウニカイイン,一般診療所,福井県福井市和田中町 110-20,0776-24-1310,内科、アレルギー科、小児科,0,36.04531842,136.2522132,
208,藤田医院,フジタイイン,一般診療所,福井県福井市小幡町 3-26-1,0776-85-1020,内科、小児科、消化器科、循環器科、その他の科(理学診療科),0,36.14096698,136.1230031,
209,舟橋内科クリニック,フナバシナイカクリニック,一般診療所,福井県福井市舟橋1丁目110,0776-54-6565,内科、小児科、消化器科、循環器科,0,36.09900158,136.225907,
210,文京内科クリニック,ブンキョウナイカクリニック,一般診療所,福井県福井市文京 1-29-6,0776-27-0272,内科、呼吸器内科、循環器内科,0,36.0779098,136.2246559,
211,ホーカベレディースクリニック,ホーカベレディースクリニック,一般診療所,福井県福井市左内町 10号11番地,0776-36-0665,小児科、産科、婦人科,19,36.05918704,136.2121764,
212,北陸電力株式会社福井診療所,ホクリクデンリョクフクイシンリョウショ,一般診療所,福井県福井市日之出 1丁目4-1,0776-29-6964,内科,0,36.063189,136.225195,
213,細川内科クリニック,ホソカワナイカクリニック,一般診療所,福井県福井市花堂中 2丁目2番7号,0776-36-2200,内科,0,36.03920118,136.2132543,
214,細川泌尿器科医院,ホソカワヒニョウキカイイン,一般診療所,福井県福井市花堂中 2-18-2,0776-36-3200,泌尿器科,0,36.03857483,136.2132116,
215,ほたるの杜　医務室,ホタルノモリ　イムシツ,一般診療所,福井県福井市羽坂町３３－１－１,0776-37-0115,内科,0,36.06030103,136.136519,
216,ほり小児科クリニック,ホリショウニカクリニック,一般診療所,福井県福井市高柳３丁目３２０１番地,0776-60-0101,小児科,0,36.09748749,136.240379,
217,本定医院,ホンジョウイイン,一般診療所,福井県福井市上中町 52-2-4,0776-54-2321,内科、小児科、呼吸器科、消化器科、循環器科,0,36.08678782,136.2738731,
218,本多整形外科医院,ホンダセイケイゲカイイン,一般診療所,福井県福井市南四ツ居1丁目 3-10,0776-53-5566,リウマチ科、整形外科、リハビリテーション科、麻酔科,0,36.06295677,136.2433215,
219,本多レディースクリニック,ホンダレディースクリニック,一般診療所,福井県福井市宝永 4丁目2番18号,0776-24-6800,小児科、産科、婦人科,17,36.0672675,136.2196535,
220,前川医院,マエガワイイン,一般診療所,福井県福井市東郷二ケ町 29-25,0776-41-0113,内科、小児科、外科、整形外科,0,36.01669592,136.2710495,
221,牧田心療内科クリニック,マキタシンリョウナイカクリニック,一般診療所,福井県福井市大手3-1-1　システム大手ビル２階,0776-30-0160,精神科、心療内科,0,36.06279987,136.2211047,
222,まきレディースクリニック,マキレディースクリニック,一般診療所,福井県福井市新田塚町 101,0776-22-8989,内科、婦人科,0,36.08813008,136.2147252,
223,まつだ眼科,マツダガンカ,一般診療所,福井県福井市文京 6丁目28-7,0776-89-1846,眼科,0,36.07753374,136.2008341,
224,松田小児科クリニック,マツダショウニカクリニック,一般診療所,福井県福井市町屋 2丁目9-21,0776-21-7215,小児科,0,36.07907708,136.2289458,
225,まつだ内科クリニック,マツダナイカクリニック,一般診療所,福井県福井市町屋 2-5-25,0776-21-6550,内科、消化器内科、外科、その他の科(内視鏡内科、肝臓内科),0,36.07775095,136.2290477,
226,まつむら眼科クリニック,マツムラガンカクリニック,一般診療所,福井県福井市上北野 1丁目25-19,0776-53-8878,眼科,2,36.06380447,136.2524255,
227,松村皮膚科医院,マツムラヒフカイイン,一般診療所,福井県福井市学園 1丁目1の16,0776-24-4636,皮膚科,0,36.07086737,136.2020276,
228,まるた皮ふ科クリニック,マルタヒフカクリニック,一般診療所,福井県福井市石盛１丁目１８３０,0776-58-7166,皮膚科、アレルギー科,0,36.11548568,136.2290019,
229,三崎医院,ミサキイイン,一般診療所,福井県福井市左内町 8-9,0776-35-0451,内科、リウマチ科、小児科、心療内科、整形外科、リハビリテーション科,0,36.05848991,136.2134908,
230,三崎胃腸科クリニック,ミサキイチョウカクリニック,一般診療所,福井県福井市順化 2-24-19,0776-24-1318,内科、外科、消化器科、整形外科,0,36.06674442,136.2138266,
231,みさわクリニック,ミサワクリニック,一般診療所,福井県福井市舟橋黒竜 1丁目119番地,0776-97-8338,内科、循環器内科、その他の科(心臓内科),0,36.09885072,136.2155929,
232,三井皮膚科医院,ミツイヒフカイイン,一般診療所,福井県福井市江守中 1丁目1002-1003,0776-34-5710,皮膚科,0,36.03608285,136.1958956,
233,みねぎし皮ふ科形成外科,ミネギシヒフカケイセイゲカ,一般診療所,福井県福井市開発４丁目４０１－１,0776-43-3150,形成外科、皮膚科、美容皮膚科、美容外科,0,36.084704,136.238526,
234,みのり眼科,ミノリガンカ,一般診療所,福井県福井市みのり3丁目2-27,0776-34-3050,眼科,0,36.05190663,136.2089066,
235,三船内科クリニック,ミフネナイカクリニック,一般診療所,福井県福井市北四ツ居３丁目３番１６号,0776-53-0110,内科,0,36.06827031,136.2435652,
236,宮地内科,ミヤジナイカ,一般診療所,福井県福井市花月 2丁目9-3,0776-30-0011,内科、胃腸内科,0,36.06815837,136.20879,
237,むかい心療内科クリニック,ムカイシンリョウナイカクリニック,一般診療所,福井県福井市木田 3丁目2402 アクアロードビル2F,0776-33-3088,精神科、心療内科,0,36.04433244,136.226542,
238,むとう眼科医院,ムトウガンカイイン,一般診療所,福井県福井市花堂南 2丁目4-10,0776-33-6102,眼科,0,36.0349162,136.2114959,
239,むらきた内科,ムラキタナイカ,一般診療所,福井県福井市新田塚町 720-1,0776-27-5001,内科、消化器科、胃腸科,0,36.08922856,136.2092013,
240,メンタルクリニックもりた,メンタルクリニックモリタ,一般診療所,福井県福井市定正町１３０８,0776-55-1377,心療内科、精神科,0,36.11939283,136.2191599,
241,森川医院,モリカワイイン,一般診療所,福井県福井市下森田桜町６－６,0776-56-0053,内科、循環器内科、小児科,0,36.1111055,136.2279938,
242,森川内科クリニック,モリカワナイカクリニック,一般診療所,福井県福井市高木北 1丁目704,0776-53-7570,内科、小児科、胃腸科,0,36.09801125,136.2297675,
243,やしろファミリークリニック,ヤシロファミリークリニック,一般診療所,福井県福井市渕 2丁目1006番地,0776-33-5533,内科、アレルギー科、小児科,0,36.04256,136.188738,
244,安井医院,ヤスイイイン,一般診療所,福井県福井市松本 2丁目11-6,0776-22-3136,内科、小児科、循環器科,0,36.07234533,136.2266526,
245,やすとみ内科医院,ヤストミナイカイイン,一般診療所,福井県福井市大手３丁目７－１　福井県繊協ビル２階,0776-22-6686,内科、糖尿病内科,0,36.06320724,136.2181264,
246,安原医院,ヤスハライイン,一般診療所,福井県福井市東郷二ケ町 36-26,0776-41-0018,内科、小児科、呼吸器科、消化器科、循環器科,0,36.01568516,136.2741552,
247,八代皮フ科クリニック,ヤツシロヒフカクリニック,一般診療所,福井県福井市大宮２－３－３２,0776-22-2144,皮膚科、形成外科,0,36.081071,136.221355,
248,山内整形外科,ヤマウチセイケイゲカ,一般診療所,福井県福井市大宮 4丁目13番18号,0776-26-1160,リウマチ科、整形外科、リハビリテーション科,19,36.08221639,136.2079563,
249,山岸眼科クリニック,ヤマギシガンカクリニック,一般診療所,福井県福井市四ツ井 1丁目4-1,0776-53-7115,眼科,0,36.06672047,136.2349667,
250,山村医院,ヤマムライイン,一般診療所,福井県福井市三十八社町 101-11,0776-38-5133,内科、小児科,0,36.00169637,136.1890045,
251,山本医院,ヤマモトイイン,一般診療所,福井県福井市志比口1丁目3-5,0776-54-5136,内科、皮膚科、循環器科,0,36.07069051,136.2336898,
252,山本こあらクリニック,ヤマモトコアラクリニック,一般診療所,福井県福井市高柳 1-803,0776‐52‐8733,アレルギー科、耳鼻いんこう科,0,36.09233369,136.2420341,
253,養護老人ホーム　一乗ふれ愛園　医務室,ヨウゴロウジンホーム　イチジョウフレアイエン　イムシツ,一般診療所,福井県福井市小稲津町102-3,0776-41-0131,内科、循環器内科、皮膚科,0,36.03641372,136.2358266,
254,吉田医院,ヨシダイイン,一般診療所,福井県福井市照手 1丁目13-3,0776-24-1230,内科、皮膚科、アレルギー科、外科、乳腺外科、泌尿器科、その他の科(漢方内科),0,36.06620419,136.2104005,
255,吉村医院,ヨシムライイン,一般診療所,福井県福井市北四ツ居 2-１8-31,0776-53-8880,内科、皮膚科、アレルギー科、小児科、リハビリテーション科、その他の科(漢方内科),0,36.06595616,136.2483053,
256,Luna.S Clinic,ルーナエス　クリニック,一般診療所,福井県福井市高柳２－１３０１　レインボービル３Ｆ,0776-53-5310,形成外科、美容外科、その他の科(美容皮膚科),0,36.09771115,136.246783,
257,六条ホームやわらぎ医務室,ロクジョウホームヤワラギイムシツ,一般診療所,福井県福井市下六条町 217-4,0776-41-8600,内科,0,36.03665491,136.2342316,
258,わかば内科クリニック,ワカバナイカクリニック,一般診療所,福井県福井市二の宮2-30-14,0776-23-0884,内科、呼吸器内科,0,36.08727361,136.2259693,
259,愛歯科,アイシカ,歯科診療所,福井県福井市石盛１丁目１６２５番地,0776-56-2444,歯科、小児歯科、歯科口腔外科,0,36.11622359,136.2297718,
260,Ai　Dental  Clinic,アイデンタルクリニック,歯科診療所,福井県福井市手寄 1丁目4-1 アオッサ2F,0776-43-0210,歯科、歯科口腔外科,0,36.06057816,136.2234614,
261,青木歯科医院,アオキシカイイン,歯科診療所,福井県福井市中央 1-10-8,0776-23-1022,歯科、小児歯科、歯科口腔外科,0,36.06098823,136.2211519,
262,あおば歯科,アオバシカ,歯科診療所,福井県福井市みのり 3丁目2-21,0776-33-0900,小児歯科、歯科口腔外科,0,36.05198419,136.2096449,
263,淺井歯科医院,アサイシカイイン,歯科診療所,福井県福井市大宮 2丁目25-29 クリエイションハウスC号,0776-29-1117,歯科、小児歯科,0,36.08322988,136.2211561,
264,いくた歯科医院,イクタシカイイン,歯科診療所,福井県福井市木田町 2510,0776-34-8020,歯科、小児歯科,0,36.04427122,136.220032,
265,池上歯科医院,イケガミシカイイン,歯科診療所,福井県福井市経田 1-402,0776-27-0118,歯科,0,36.08845955,136.2239441,
266,池田歯科医院,イケダシカイイン,歯科診療所,福井県福井市順化 1-22-12,0776-25-0225,歯科,0,36.06627089,136.2173638,
267,いたつデンタルクリニック,イタツデンタルクリニック,歯科診療所,福井県福井市花堂中 2丁目1-8,0776-34-0118,歯科、矯正歯科、小児歯科、歯科口腔外科、その他の科,0,36.03909328,136.2138013,
268,一般社団法人福井県歯科医師会立福井口腔保健センター,イッパンシャダンホウジンフクイケンシカイシカイリツフクイコウクウホケンセンター,歯科診療所,福井県福井市大願寺 3-4-1,0776-28-3055,歯科,0,36.08197082,136.2277023,
269,伊東歯科,イトウシカ,歯科診療所,福井県福井市春山 2丁目1-1,0776-25-0052,歯科,0,36.06724014,136.2154239,
270,伊藤歯科クリニック,イトウシカクリニック,歯科診療所,福井県福井市板垣 3丁目601 ITOビル2F,0776-33-7770,歯科,0,36.04732922,136.2320379,
271,医療法人　上田歯科医院,イリョウホウジン　ウエダシカイイン,歯科診療所,福井県福井市灯明寺 1丁目411番地,0776-25-1170,歯科、小児歯科、歯科口腔外科,0,36.09015178,136.2124969,
272,医療法人カトウ矯正歯科,イリョウホウジンカトウキョウセイシカ,歯科診療所,福井県福井市大手 2丁目18-12,0776-28-1118,矯正歯科,0,36.06634881,136.2228489,
273,医療法人川栄歯科医院,イリョウホウジンカワエイシカイイン,歯科診療所,福井県福井市円成寺町8-30,41-0772,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.01886889,136.2584128,
274,医療法人矯正歯科誠クリニック,イリョウホウジンキョウセイシカマコトクリニック,歯科診療所,福井県福井市松本 4丁目11番1号,0776-22-4187,矯正歯科,0,36.07287262,136.2189707,
275,医療法人五大清歯会工大前清水歯科医院,イリョウホウジンゴダイセイシカイコウダイマエシミズシカイイン,歯科診療所,福井県福井市光陽 4丁目3-26,0776-22-4122,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.0678271,136.1941795,
276,医療法人　島矯正歯科,イリョウホウジンシマキョウセイシカ,歯科診療所,福井県福井市中央 1丁目21-22,0776-23-1187,矯正歯科,0,36.06016229,136.2191614,
277,医療法人社団仁秀会　早川歯科医院,イリョウホウジンシャダンニシュウカイ　ハヤカワシカイイン,歯科診療所,福井県福井市文京 3丁目27-12,0776-25-7733,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.07947092,136.2115489,
278,医療法人橋本歯科医院,イリョウホウジンハシモトシカイイン,歯科診療所,福井県福井市浅水三ケ町 5-27-2,0776-38-7100,歯科、矯正歯科、小児歯科,0,35.9974858,136.195539,
279,医療法人平泉歯科医院,イリョウホウジンヒライズミシカイイン,歯科診療所,福井県福井市板垣 5丁目908,0776-36-7144,歯科,0,36.04462386,136.2302887,
280,医療法人御幸歯科クリニック,イリョウホウジンミユキシカクリニック,歯科診療所,福井県福井市御幸 3丁目16-34,0776-28-5280,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.05437234,136.2369319,
281,岩井歯科医院,イワイシカイイン,歯科診療所,福井県福井市日之出 2丁目15-16,0776-24-2600,歯科、小児歯科,0,36.06393313,136.2287615,
282,岩佐歯科医院,イワサシカイイン,歯科診療所,福井県福井市日光 2丁目26-1,0776-27-0003,歯科、小児歯科、歯科口腔外科,0,36.07115263,136.1991522,
283,いわた歯科クリニック,イワタシカクリニック,歯科診療所,福井県福井市東森田４－７２５,0776-56-4418,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.12089076,136.2524401,
284,うさみ歯科医院,ウサミシカイイン,歯科診療所,福井県福井市新保北 1丁目303番地,0776‐52‐0118,矯正歯科、小児歯科、歯科口腔外科、その他の科(一般歯科),0,36.08746337,136.2493165,
285,うちやま歯科クリニック,ウチヤマシカクリニック,歯科診療所,福井県福井市円山 1丁目106,0776-97-5011,歯科、小児歯科,0,36.07198726,136.2449843,
286,梅田歯科医院,ウメダシカイイン,歯科診療所,福井県福井市渕 3丁目1017番地,0776-34-5666,歯科、小児歯科、歯科口腔外科,0,36.03997317,136.1879457,
287,うらやま歯科,ウラヤマシカ,歯科診療所,福井県福井市二の宮 2丁目29-18,0776-25-0648,歯科,0,36.08762424,136.225345,
288,エルム歯科室,エルムシカシツ,歯科診療所,福井県福井市新田塚 2丁目32番18号,0776-20-7700,歯科、小児歯科,0,36.08904481,136.203653,
289,大手グリーン歯科,オオテグリーンシカ,歯科診療所,福井県福井市大手２丁目３番１号　三の丸ビル１階,0776-30-6480,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.06423235,136.2239687,
290,おおのや歯科医院,オオノヤシカイイン,歯科診療所,福井県福井市大森町 6-9,0776-98-3518,歯科,0,36.02149783,136.1180856,
291,大橋歯科医院,オオハシシカイイン,歯科診療所,福井県福井市新保 2丁目501,0776-52-0084,歯科、小児歯科,0,36.07902576,136.249745,
292,大森歯科医院,オオモリシカイイン,歯科診療所,福井県福井市文京 4-9-1,0776-27-7171,歯科、歯科口腔外科,0,36.0758281,136.2102967,
293,おおわだ歯科,オオワダシカ,歯科診療所,福井県福井市大和田 2丁目1212 エルパ2F,0776-57-2631,歯科、小児歯科、歯科口腔外科,0,36.09573502,136.250306,
294,オカダ歯科医院,オカダシカイイン,歯科診療所,福井県福井市日之出 5丁目6-1,0776-52-5300,歯科、小児歯科,0,36.06539978,136.2314522,
295,荻原歯科医院,オギハラシカイイン,歯科診療所,福井県福井市大手 3丁目8番11号,0776-26-3312,歯科、小児歯科,0,36.06423504,136.2178958,
296,長内歯科クリニック,オサナイシカクリニック,歯科診療所,福井県福井市高木北 2丁目1105番地5,0776-97-8148,歯科、小児歯科、歯科口腔外科,0,36.09928199,136.2327225,
297,おひさま歯科クリニック,オヒサマシカクリニック,歯科診療所,福井県福井市高木町56-13-6,0776-54-8511,歯科、小児歯科,0,36.09771103,136.2289498,
298,かおる矯正歯科クリニック,カオルキョウセイシカクリニック,歯科診療所,福井県福井市二の宮 3丁目6-8,0776-89-1848,矯正歯科,0,36.0837473,136.2166616,
299,かが歯科クリニック,カガシカクリニック,歯科診療所,福井県福井市毛矢３丁目７－６,0776-33-7435,歯科,0,36.05753308,136.2121465,
300,学園デンタルオフィス,ガクエンデンタルオフィス,歯科診療所,福井県福井市学園 1-1-20,0776-26-7730,歯科、小児歯科、歯科口腔外科,0,36.07090507,136.2024313,
301,加藤歯科医院,カトウシカイイン,歯科診療所,福井県福井市宝永 2-12-5,0776-22-3185,歯科、小児歯科,0,36.07045412,136.2271798,
302,加藤歯科医院,カトウシカイイン,歯科診療所,福井県福井市中央 2丁目3-1,0776-22-4002,歯科,0,36.05941033,136.2202419,
303,川島歯科医院,カワシマシカイイン,歯科診療所,福井県福井市三留町 14-11-4,0776-98-4752,歯科,0,36.03717677,136.1523035,
304,矯正歯科医院みねた,キョウセイシカイインミネタ,歯科診療所,福井県福井市大手 3丁目12-20 冨田第一生命ビル2階,0776-23-1180,矯正歯科,0,36.06468839,136.2183514,
305,くりもり大人こども歯科クリニック,クリモリオトナコドモシカクリニック,歯科診療所,福井県福井市栗森１丁目３０５,0776-56-0035,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.11728093,136.2429137,
306,光陽生協歯科診療所,コウヨウセイキョウシカシンリョウショ,歯科診療所,福井県福井市光陽 2丁目18-15,0776-24-8784,歯科、小児歯科,0,36.06544283,136.1979042,
307,越廼歯科診療所,コシノシカシンリョウジョ,歯科診療所,福井県福井市茱崎町1-68,0776-89-7020,歯科,0,36.039214,136.012251,
308,小林歯科医院,コバヤシシカイイン,歯科診療所,福井県福井市豊島 2丁目7の9,0776-23-6233,歯科,0,36.05778732,136.2247401,
309,近藤歯科医院,コンドウシカイイン,歯科診療所,福井県福井市みのり 3丁目21-9,0776-34-0626,歯科、小児歯科,0,36.04832568,136.209033,
310,コンドー歯科医院,コンドーシカイイン,歯科診療所,福井県福井市開発 4-306,0776-53-2828,歯科、矯正歯科,0,36.08385191,136.2370606,
311,さくら歯科医院,サクラシカイイン,歯科診療所,福井県福井市城東 4丁目20-14,0776-35-5157,歯科、小児歯科,0,36.05765943,136.238496,
312,ササジマ歯科医院,ササジマシカイイン,歯科診療所,福井県福井市毛矢 2-7-3,0776-34-5550,歯科、小児歯科、歯科口腔外科,0,36.05741711,136.2145042,
313,ささじま歯科医院,ササジマシカイイン,歯科診療所,福井県福井市成和 1丁目3210番,0776-24-3368,歯科、矯正歯科、小児歯科、歯科口腔外科,0,36.05228911,136.2439326,
314,さわやか矯正歯科クリニック,サワヤカキョウセイシカクリニック,歯科診療所,福井県福井市新田塚町 302番,0776-21-1888,矯正歯科,0,36.08821492,136.2136598,
315,歯科コパクリニック,シカコパクリニック,歯科診療所,福井県福井市大和田２丁目４２２番地,0776-53-8158,歯科、小児歯科,0,36.09471814,136.2478518,
