No.,業種,詳細業種,業態,営業所名称,営業所郵便番号,営業所所在地,営業所電話番号,許可番号（号）,施行日,有効期限
292,飲食店営業,その他,肉バル,ＦＯＯＤＬＡＢ　×　肉はナカノ,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　ＦＨ２１,0776-30-1129,福井市指令生衛第23-3-401号,3/5/24,11/30/29
293,飲食店営業,その他,食料品店、ローカルフードマーケット,ＦＯＯＤＬＡＢ　ＭＩＮＩＥ　ＢＡＳＥ,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　ＦＨ２,0776-30-0291,福井市指令生衛第23-3-400号,3/5/24,11/30/29
294,飲食店営業,その他,スナック,ＦＯＲＴＵＮＥ,910-0023,福井市順化２丁目２０－１７セレクトシティ片町　４階　４０２号室,0776-50-6014,福井市指令生衛第22-3-351号,2/20/23,4/30/28
295,麺類製造業,麺類製造業,製麺業,ＦＵＫＵＩ　ＰＨＯ－ｍｅ　ＦＡＣＴＯＲＹ,910-0052,福井市黒丸町１０－１６－１,0776-58-7063,福井市指令生衛第21-3-259号,1/21/22,1/31/27
296,飲食店営業,その他,クレープ屋,ＦＵＫＵＮＯＴＥ,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　ＦＨ２５,,福井市指令生衛第23-3-407号,3/28/24,11/30/29
297,飲食店営業,その他,ケータリング,FUN DINING　福井県国際交流会館パントリー,910-0004,福井市宝永３丁目１－１福井県国際交流会館３Ｆ,0776-28-8800,福井市指令生衛第22-3-41号,5/10/22,11/30/28
298,飲食店営業,その他,ケータリング,ＦＵＮ　ＤＩＮＩＮＧ　福井県国際交流会館パントリー,910-0004,福井市宝永３丁目１－１福井県国際交流会館３Ｆ,0776-28-8800,福井市指令生衛第22-3-320号,1/26/23,11/30/29
299,菓子製造業,菓子製造業,,ｆｕｎｄａｆｕｌ,910-0023,福井市順化１丁目１６－１４,,福井市指令生衛第21-3-56号,7/9/21,3/31/27
300,そうざい製造業,そうざい製造業,,ｆｕｎｄａｆｕｌ,910-0023,福井市順化１丁目１６－１４,,福井市指令生衛第21-3-57号,7/9/21,3/31/27
301,飲食店営業,その他,学生食堂,ＦＵＴ硬式野球部文京寮,910-0017,福井市文京７丁目１３－２９,,福井市指令生衛第24-3-66号,5/10/24,1/31/30
302,飲食店営業,その他,雀荘,ｇ,910-0023,福井市順化１丁目８－１７ダイナソービル２Ｆ　Ｉ号室,,福井市指令生衛第21-3-322号,3/18/22,3/31/27
303,菓子製造業,菓子製造業,,Ｇａｉａ　Ｋｉｔｃｈｅｎ,918-8108,福井市春日２丁目２－４２Ｆ,,福井市指令生衛第22-4-182号,10/18/22,10/31/27
304,飲食店営業,その他,ＤＩＳＣＯ　ＢＡＲ,ＧＡＬＡＸＹ,910-0023,福井市順化１丁目２－１４メトロ会館Ｂ１Ｆ,0776-50-0617,福井市指令生衛第24-3-275号,10/15/24,3/31/30
305,飲食店営業,その他,ワインバル,ＧＩＮＣＨＩＹＯ,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　横丁１２,,福井市指令生衛第23-3-389号,2/26/24,11/30/29
306,飲食店営業,一般食堂・レストラン等,レストラン,ＧＩＮＣＨＩＹＯ／ＮＡＯＴＯＲＡ,918-8112,福井市下馬３丁目１０５,,福井市指令生衛第22-3-278号,1/5/23,10/31/28
307,飲食店営業,その他,ダイニングバー,ＧＩＯＲＮＯ,910-0023,福井市順化１丁目１７－２９ＳＫ館１Ｆ,0776-50-2715,福井市指令生衛第22-4-389号,1/24/23,3/31/28
308,飲食店,仕出し弁当,,ＧＩＯＲＮＯ　Ｆｕｋｕｉ，,910-0006,福井市中央１丁目１０－１０,,福井市指令生衛第19-1-449号,2/20/20,11/30/25
309,菓子製造業,一般,,"ＧＩＯＲＮＯ　Ｆｕｋｕｉ,",910-0006,福井市中央１丁目１０－１０,0776-89-1612,福井市指令生衛第20-1-85号,5/21/20,11/30/26
310,飲食店営業,その他,ＢＡＲ,Ｇｉｏｒｎｏ　ｍｉｃ,910-0023,福井市順化１丁目１７－２９ＳＫ館２ＦＢ,0776-50-2715,福井市指令生衛第23-4-436号,1/12/24,3/31/29
311,飲食店営業,その他,バー,Ｇｉｒｌ’ｓ　Ｂａｒ　ｒｅｒａｉｎ,910-0023,福井市順化１丁目１５－５順化ブラボービル２階２Ｂ,0776-25-0895,福井市指令生衛第21-4-633号,2/3/22,3/31/27
312,飲食店営業,その他,ＢＡＲ,Ｇｉｒｌ’ｓ　Ｌｏｕｎｇｅ　Ｂｌａｎｃｈｅ,910-0023,福井市順化２丁目８－１４パークサイドタワービル４Ｆ,,福井市指令生衛第22-3-393号,3/28/23,4/30/28
313,飲食店営業,その他,Ｂａｒ,Ｇｉｒｌ’ｓ　Ｌｏｕｎｇｅ　Ｂｌａｎｃｈé,910-0023,福井市順化２丁目８－１４パークサイドタワービル４Ｆ,,福井市指令生衛第22-3-291号,12/23/22,4/30/28
314,飲食店営業,その他,ラウンジ,ＧＬＩＴＴＥＲ,910-0023,福井市順化２丁目１３－１セントビュー片町３Ｆ　Ａ,0776-29-7002,福井市指令生衛第22-4-433号,3/2/23,4/30/28
315,飲食店営業,その他,ラウンジ,ＧＬＩＴＴＥＲ　Ｍ,910-0023,福井市順化２丁目１３－１セントビュー片町３Ｆ　Ｂ,0776-29-7002,福井市指令生衛第24-4-445号,2/25/25,4/30/30
316,菓子製造業,一般,,Ｇｏｏｄ　Ｓｍｉｌｅ　Ｄｏｎｕｔ,910-0859,福井市日之出５丁目８－３黒川コーポ１０１,,福井市指令生衛第21-1-53号,5/28/21,7/31/26
317,喫茶店,純喫茶,,Ｇｏｏｄ　Ｓｍｉｌｅ　Ｄｏｎｕｔ,910-0859,福井市日之出５丁目８－３黒川コーポ１０１,,福井市指令生衛第21-1-55号,5/28/21,7/31/26
318,飲食店,社交飲食,,Ｇｒａｎｄｅ,910-0023,福井市順化１丁目１７―７プランタン片町ビル３Ｆ―Ｂ,0776-28-0807,福井市指令生衛第19-2-791号,3/25/20,3/31/25
319,飲食店営業,その他,スナック,ｇｒａｓｓ．ＮＯ,910-0023,福井市順化２丁目２２－１寺木ビル２０１,0776-21-5551,福井市指令生衛第24-4-450号,2/3/25,4/30/30
320,飲食店営業,その他,カフェ,Ｇｒｅｅｎ　Ｈａｉｂｅ　Ｃａｆｅ,910-0836,福井市大和田１丁目４０２,0776-50-2162,福井市指令生衛第23-4-272号,10/19/23,12/31/28
321,飲食店営業,その他,ダイニングバー,ｇｒｉ－ｇｒｉ,910-0023,福井市順化１丁目１４－５ＢＫビル３Ｆ,0776-27-1700,福井市指令生衛第23-4-450号,1/22/24,3/31/29
322,飲食店,仕出し弁当,,ＧＲＩＮ　ＢＡＫＥＲＹ,918-8014,福井市花堂中２丁目１０―１５,0776-63-6189,福井県指令福保第1810591号,12/25/18,10/31/25
323,菓子製造業,一般,,ＧＲＩＮ　ＢＡＫＥＲＹ,918-8014,福井市花堂中２丁目１０―１５,0776-63-6189,福井県指令福保第1810592号,12/25/18,10/31/25
324,飲食店営業,一般食堂・レストラン等,イタリアンレストラン,Ｇｒｏｓｓｏ（グロッソ）,918-8023,福井市西谷２丁目２７０９,0776-97-6988,福井市指令生衛第21-4-773号,3/17/22,5/31/27
325,飲食店営業,その他,カラオケ喫茶,ｇｒｏｗ,918-8027,福井市福１丁目２９１５小林ビル１０３,0776-36-7339,福井市指令生衛第23-4-551号,4/2/24,5/31/29
326,飲食店営業,その他,カフェ,ｈ＋ＬＡＢ.,910-0122,福井市石盛町３０２ｈ＋ＢＡＳＥ１０１,0776-56-2260,福井市指令生衛第24-3-5号,4/19/24,9/30/29
327,飲食店営業,その他,焼鳥屋,ＨＡＣＨＩ,918-8018,福井市大島町中坪１１０,0776-63-6762,福井市指令生衛第23-4-180号,9/5/23,10/31/28
328,飲食店営業,その他,ラウンジ,Ｈａｃｈｉ,910-0023,福井市順化１丁目１９－１５片町ロフトビル２Ｆ－Ｄ号室,0776-43-9038,福井市指令生衛第24-4-320号,1/9/25,3/31/30
329,飲食店営業,その他,カラオケバー,ＨａＮａ１０,910-0804,福井市高木中央１丁目２２１５－１,0776-43-6786,福井市指令生衛第23-3-105号,7/6/23,12/31/28
330,飲食店営業,その他,喫茶店,ＨＡＮＤＳ　ＣＯＦＦＥＥ,910-0006,福井市中央１丁目２２－１３,0776-28-7108,福井市指令生衛第21-4-360号,9/30/21,11/30/26
331,飲食店営業,一般食堂・レストラン等,居酒屋レストラン,ＨＡＮＧ　ＯＵＴ　ＨＵＮＧＲＹ’Ｓ,918-8011,福井市月見４丁目２－３４,0776-97-5402,福井市指令生衛第23-4-189号,9/5/23,10/31/28
332,飲食店営業,その他,チーズ屋,ＨＡＰＰＹ　ＣＨＥＥＳＥ,910-0006,福井市中央１丁目１５－６,,福井市指令生衛第24-4-193号,9/9/24,11/30/29
333,菓子製造業,菓子製造業,,ＨＡＰＰＹ　ＣＨＥＥＳＥ,910-0006,福井市中央１丁目１５－６,,福井市指令生衛第24-4-194号,9/9/24,11/30/29
334,飲食店営業,その他,バー,ＨＩＤＩＮＧ　ＰＬＡＣＥ,910-0006,福井市中央１丁目１２－１１ポケットパークビル　２Ｆ,0776-29-1553,福井市指令生衛第24-3-304号,11/14/24,11/30/29
335,飲食店営業,その他,ＢＡＲ,ＨＩＴＯＴＯＫＩ　ＢＡＲ　ＫＩＮ,910-0023,福井市順化１丁目２４－１７玉村片町ビル　１Ｆ　１０１,,福井市指令生衛第24-3-47号,5/2/24,3/31/30
336,飲食店営業,その他,バー,ＨＯＭＩＥＳ　Ｋ,910-0023,福井市順化１丁目７－９片町バレービル２階Ａ号室,0776-43-6338,福井市指令生衛第24-4-398号,1/28/25,3/31/30
337,飲食店,社交飲食,,Ｉ,910-0023,福井市順化２丁目２０―２０１階,,福井市指令生衛第20-2-986号,3/24/21,4/30/26
338,飲食店営業,その他,ラウンジ,Ｉ,910-0023,福井市順化２丁目２０－２０菅谷店舗２Ｆ,,福井市指令生衛第21-4-715号,2/15/22,4/30/27
339,飲食店営業,その他,スナック,Ｉ　♡　ＤＡＢＡＯ,910-0023,福井市順化１丁目１７－２３サンロイヤル片町１０２,0776-21-8230,福井市指令生衛第23-4-455号,1/22/24,3/31/29
340,菓子製造業,菓子製造業,,ｉｃｉｎｇｃｏｏｋｉｅ　ＮｏｉｒＢｌａｎｃｅ,918-8237,福井市和田東２丁目１３１６－３,,福井市指令生衛第23-3-122号,7/21/23,7/31/28
341,飲食店営業,その他,テイクアウトカフェ,ｉｅｍｅ,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　ＦＨ２４,,福井市指令生衛第23-3-414号,3/5/24,11/30/29
342,飲食店営業,その他,喫茶店,ｉｆ,918-8004,福井市西木田１丁目２０－２６,0776-36-1345,福井市指令生衛第21-4-264号,8/24/21,10/31/26
343,飲食店,食堂,,ＩＬ　ＢＯＳＣＯ,910-0015,福井市二の宮３丁目１３―２３,0776-97-8860,福井市指令生衛第20-2-678号,11/26/20,1/31/26
344,そうざい製造業,そうざい製造業,,ＩＬ　ＢＯＳＣＯ,910-0015,福井市二の宮３丁目１３―２３,0776-97-8860,福井市指令生衛第22-3-366号,3/13/23,1/31/29
345,飲食店営業,その他,ラウンジ,Ｉｍａｒｉ,910-0023,福井市順化１丁目１７－７プランタン片町３階Ｃ号室,0776-63-5211,福井市指令生衛第23-4-462号,2/7/24,3/31/29
346,飲食店営業,一般食堂・レストラン等,カレー店,ＩＮＤＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＧＡＮＤＨＩ,918-8031,福井市種池２丁目４０５,0776-33-2575,福井市指令生衛第21-4-779号,3/23/22,5/31/27
347,飲食店営業,その他,バー,ＩＮＦＩＮＩＴＹ,910-0023,福井市順化２丁目７－１８三栄ビル　５Ｆ東,,福井市指令生衛第22-3-205号,10/7/22,4/30/28
348,飲食店,社交飲食,,Ｉｒｉｓｈ　Ｂａｒ　Ｓｈｅｌｂｏｕｒｎｅ,910-0006,福井市中央１丁目１６－２,,福井市指令生衛第21-1-34号,5/17/21,11/30/26
349,飲食店営業,その他,カフェ,Ｉｒｏｄｏｒｉ　ｃｒａｆｔ　Ｍａｒｕｎ,918-8108,福井市春日２丁目３－５,,福井市指令生衛第23-3-376号,2/14/24,10/31/29
350,飲食店営業,一般食堂・レストラン等,中華料理店,ＩＳＳＥＩ,910-0858,福井市手寄１丁目４－１ＡＯＳＳＡ　３Ｆ,,福井市指令生衛第22-4-46号,6/1/22,7/31/27
351,飲食店営業,その他,カラオケＢａｒ,Ｉｔ’ｓ　Ｃｏｏｌ　いつくる,910-0015,福井市二の宮４丁目２８－１２,,福井市指令生衛第24-4-270号,11/5/24,1/31/30
352,飲食店営業,その他,カフェ,ＩＶＹＩＺＭ,910-0804,福井市高木中央２丁目４０６,0776-63-6590,福井市指令生衛第22-4-266号,11/9/22,12/31/27
353,飲食店営業,その他,居酒屋,ＩＺＡＫＡＹＡマルクチ,918-8104,福井市板垣３丁目１３１５タケダビル　１階,0776-33-0143,福井市指令生衛第24-4-135号,7/25/24,10/31/29
354,飲食店営業,その他,バー,Ｊ　ジェイ,910-0023,福井市順化１丁目１６－１８片町ステーションビル３Ｆ,0776-26-0228,福井市指令生衛第22-4-366号,1/23/23,3/31/28
355,飲食店,社交飲食,,Ｊ’ＡＤＯＲＥ,910-0023,福井市順化２丁目１３－１セントビュー片町２Ｆ,,福井市指令生衛第20-1-415号,2/15/21,4/30/26
356,飲食店,社交飲食,,ｊａｋｅ’ｓ　ｈａｌｌ　Ｏｌｄ　Ｒｏｏｋｉｅ,910-0023,福井市順化１丁目１０―９ドリームタウン３Ｆ,,福井市指令生衛第20-1-298号,11/4/20,3/31/26
357,飲食店営業,その他,カラオケ喫茶,ＪＡＭ　ＪＡＭ,910-0004,福井市宝永１丁目９－１１,0776-28-3905,福井市指令生衛第24-4-211号,10/17/24,11/30/29
358,飲食店営業,その他,Bar＆Lounge,Ｊａｚｚ　Ｂａｒ　＆　Ｌｏｕｎｇｅ　三好,910-0023,福井市順化２丁目２２－１寺木ビル４階４０１号室,,福井市指令生衛第24-3-202号,8/26/24,4/30/30
359,飲食店営業,その他,バー,Ｊ－ｇｌｏｂｅ,910-0023,福井市順化２丁目８－１４パークサイドタワービル２Ｆ,0776-27-0213,福井市指令生衛第21-4-744号,3/8/22,4/30/27
360,飲食店,社交飲食,,ＪＩＧＵＲＯ,910-0023,福井市順化１丁目７－９片町バレービル１Ｆ１－Ａ,0776-28-5677,福井市指令生衛第19-1-125号,7/3/19,3/31/25
361,飲食店営業,その他,ＢＡＲ,ＪＩＧＵＲＯ,910-0023,福井市順化１丁目７－９片町バレービル１Ｆ１－Ａ,0776-97-9724,福井市指令生衛第22-3-211号,10/5/22,3/31/28
362,飲食店営業,その他,Ｂａｒ,ＪＩＧＵＲＯ　ＶＩＰ,910-0023,福井市順化１丁目１５－５ブラボービル　２Ｆ　２Ａ号室,,福井市指令生衛第24-3-351号,1/23/25,3/31/30
363,飲食店営業,その他,喫茶店,Ｊｏｅ,910-0804,福井市高木中央２丁目１５１０エンジェル小林　１Ｆ,0776-53-7575,福井市指令生衛第23-4-333号,11/16/23,12/31/28
364,飲食店,社交飲食,,ＪＯＹＦＵＬ,910-0023,福井市順化２丁目１３―１７エミヤビル２Ｆ,0776-26-3536,福井市指令生衛第20-2-963号,3/24/21,4/30/26
365,飲食店営業,その他,お好み焼店,Ｊｏｙ風月・風の街　福井社店,918-8026,福井市渕２丁目１８０７,0776-34-0866,福井市指令生衛第21-4-41号,6/1/21,5/31/27
366,飲食店営業,その他,バー,ＪＵＪＵ,910-0023,福井市順化１丁目９－８滝の街ビル１Ｆ,,福井市指令生衛第22-4-353号,1/10/23,3/31/28
367,飲食店営業,その他,テイクアウト,JUNGLE SWEETS from KUROBOSHI,918-8015,福井市花堂南２丁目１６－１アル・プラザベル２Ｆ,,福井市指令生衛第22-3-84号,6/20/22,10/31/27
368,飲食店営業,その他,スナック,Ｋ＆Ｋ,918-8025,福井市江守中２丁目６０１,0776-34-5066,福井市指令生衛第21-4-774号,3/23/22,5/31/27
369,飲食店営業,その他,バー,Ｋ’ｚＢａｒ,910-0023,福井市順化１丁目１４－２２くわの実会館Ｂ１,,福井市指令生衛第24-4-373号,1/23/25,3/31/30
370,飲食店,軽食,,ＫＡＫＥＨＡＳＨＩ,918-8045,福井市福新町２００４－２ハイウェーブカフェビル１Ｆ,0776-43-0509,福井市指令生衛第19-1-497号,3/13/20,5/31/25
371,飲食店営業,その他,居酒屋,ＫＡＫＥＴＵＫＥ,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　横丁６,0776-37-3370,福井市指令生衛第24-3-19号,4/23/24,11/30/29
372,飲食店営業,その他,カラオケバー,ＫＡＲＡＯＫＥ　９３Ｂａｒ,910-0023,福井市順化１丁目１７－２３サンロイヤル片町４０１,,福井市指令生衛第24-3-108号,6/14/24,3/31/30
373,飲食店,社交飲食,,Ｋｉ・Ｋｉ,910-0023,福井市順化１丁目１５―４リトルプラザビル１Ｆ,0776-24-7701,福井市指令生衛第20-2-863号,2/18/21,3/31/26
374,飲食店営業,その他,豆腐屋,ＫＩＮＺＯ,910-0837,福井市高柳２丁目１２０６トレタス内,0776-91-1313,福井市指令生衛第23-3-480号,4/10/24,12/31/30
375,菓子製造業,菓子製造業,,ＫＩＮＺＯ,910-0837,福井市高柳２丁目１２０６トレタス内,0776-91-1313,福井市指令生衛第23-3-481号,4/10/24,12/31/30
376,飲食店,食堂,,Ｋｉｓａｋｉ　ＣＡＦＥ　ＭＩＹＡＮＯＳＨＩＴＡ,910-3113,福井市江上町５８－７－２,0776-59-2626,福井市指令生衛第19-1-368号,12/4/19,7/31/25
377,そうざい製造業,そうざい製造業,,Ｋｉｓａｋｉ　ＣＡＦＥ　ＭＩＹＡＮＯＳＨＩＴＡ,910-3113,福井市江上町５８－７－２,0776-59-2626,福井市指令生衛第23-3-13号,4/26/23,7/31/28
378,飲食店営業,一般食堂・レストラン等,食堂,Ｋｉｔｃｈｅｎ　和,910-0005,福井市大手２丁目２２－２８福井県教育センター１階,,福井市指令生衛第23-3-219号,10/19/23,11/30/28
379,そうざい製造業,そうざい製造業,,Ｋｉｔｃｈｅｎ　和,910-0005,福井市大手２丁目２２－２８福井県教育センター１階,,福井市指令生衛第23-3-220号,10/19/23,11/30/28
380,飲食店営業,その他,サラダ専門店,ＫＩＹＯＨＡＣＨＩ　ＣＨＯＰＰＥＤ　ＳＡＬＡＤ,910-0015,福井市二の宮４丁目３－１,,福井市指令生衛第21-3-116号,9/29/21,1/31/27
381,飲食店営業,その他,集団給食施設,ＫＭ４７６４,918-8134,福井市下莇生田町５－６－２,0776-37-3798,福井市指令生衛第23-3-392号,2/29/24,8/31/30
382,飲食店,社交飲食,,ＫＯＢＡＲ,910-0023,福井市順化１丁目１５－４リトルプラザビル２Ｆ,,福井市指令生衛第19-1-470号,2/25/20,3/31/25
383,飲食店営業,その他,スナック,Ｋｏｄａｃｈｉ,910-0023,福井市順化１丁目１４－３ＮＯＶＡ順化ビル２階,0776-28-5807,福井市指令生衛第21-3-270号,1/31/22,3/31/27
384,飲食店営業,その他,ラウンジ,ＫＯＭＡＣＨＩ,910-0023,福井市順化２丁目２０－１ランドマークビル５Ｆ,0776-25-1775,福井市指令生衛第23-4-510号,2/19/24,4/30/29
385,飲食店営業,その他,ラウンジ,ＫＯＭＡＣＨＩ　ＶＩＰＲＯＯＭ,910-0023,福井市順化２丁目２０－１ランドマークビル５Ｆ,0776-25-1775,福井市指令生衛第23-4-511号,2/19/24,4/30/29
386,飲食店営業,一般食堂・レストラン等,韓国料理店,ＫＯＲＥＡ,910-0006,福井市中央１丁目１２－８高柴ビル１Ｆ,0776-28-3889,福井市指令生衛第22-4-178号,9/20/22,11/30/27
387,飲食店営業,その他,ハンバーガー屋,ＫＲＡＦＴ,910-0023,福井市順化１丁目１３－１アートビル２－Ａ,,福井市指令生衛第22-3-319号,2/3/23,3/31/28
388,菓子製造業,菓子製造業,惣菜店,Ｋｕｍａ Ｄｅｌｉ　キッチン,910-0804,福井市高木中央２丁目３２０９白崎ビル１０１,0776-65-7606,福井市指令生衛第22-3-144号,8/29/22,12/31/28
389,そうざい製造業,そうざい製造業,惣菜店,Ｋｕｍａ Ｄｅｌｉ　キッチン,910-0804,福井市高木中央２丁目３２０９白崎ビル１０１,0776-65-7606,福井市指令生衛第22-3-145号,8/29/22,12/31/28
390,飲食店営業,一般食堂・レストラン等,フィリピン料理店,ＫＵＹＡ　ＪＥＮＧ　ＰＨＩＬＩＰＰＩＮＥ　ＲＥＳＴＡＵＲＡＮＴ,910-0019,福井市春山１丁目１－２９　１Ｆ,,福井市指令生衛第21-3-289号,2/25/22,4/30/27
391,飲食店,社交飲食,,ＫＶＥＬＬ,910-0023,福井市順化２丁目１５―１９セイコービル　４０３,0776-50-3638,福井市指令生衛第20-1-16号,4/14/20,4/30/25
392,飲食店営業,その他,カフェ,ｋｙｕ　ｃａｆｅ,910-0842,福井市開発２丁目７１０野坂ビル１Ｆ　Ｇ号室,0776-54-2990,福井市指令生衛第23-4-279号,10/17/23,12/31/28
393,飲食店営業,その他,バー,ＫＹＵ－ＫＹＵ－ＫＹＵ,910-0023,福井市順化２丁目７－６,,福井市指令生衛第21-4-717号,2/15/22,4/30/27
394,飲食店営業,その他,スナック,Ｌ　ａｎｄ　Ｈｅａｒｔ,910-0023,福井市順化２丁目１２－１４プリンスビル３０２号室,0776-50-6517,福井市指令生衛第21-3-109号,9/13/21,4/30/27
395,飲食店営業,一般食堂・レストラン等,フランス料理店,Ｌ’ａｉｓａｎｃｅ,910-0837,福井市高柳１丁目７１２,0776-53-4858,福井市指令生衛第22-3-47号,6/20/22,12/31/27
396,菓子製造業,菓子製造業,,Ｌ’ａｉｓａｎｃｅ,910-0837,福井市高柳１丁目７１２,0776-53-4858,福井市指令生衛第22-3-48号,6/20/22,12/31/27
397,そうざい製造業,そうざい製造業,,Ｌ’ａｉｓａｎｃｅ,910-0837,福井市高柳１丁目７１２,0776-53-4858,福井市指令生衛第22-3-49号,6/20/22,12/31/27
398,飲食店営業,一般食堂・レストラン等,レストラン,Ｌ’ａｊｉｔｔｏ,910-0804,福井市高木中央１丁目２１０１プチドラゴン１Ｆ,0776-50-6323,福井市指令生衛第23-3-14号,4/27/23,12/31/29
399,そうざい製造業,そうざい製造業,,Ｌ’ａｊｉｔｔｏ,910-0804,福井市高木中央１丁目２１０１プチドラゴン１Ｆ,0776-50-6323,福井市指令生衛第23-3-15号,4/27/23,12/31/29
400,冷凍食品製造業,冷凍食品製造業,,Ｌ’ａｊｉｔｔｏ,910-0804,福井市高木中央１丁目２１０１プチドラゴン１Ｆ,0776-50-6323,福井市指令生衛第23-3-16号,4/27/23,12/31/29
401,菓子製造業,一般,,Ｌ’Ｅｃｌａｉｒｃｉｅ,918-8024,福井市舞屋町１－８－３３,0776-43-6302,福井市指令生衛第21-1-4号,4/12/21,5/31/26
402,菓子製造業,菓子製造業,,Ｌ’ＥＳＰＲＩＴ　Ｄ’ＯＲ,918-8026,福井市渕２丁目８２０塚谷ビル１０５号,0776-34-6439,福井市指令生衛第21-4-777号,4/27/22,5/31/28
403,菓子製造業,一般,,Ｌａ　Ｐｅｔｉｔｅ　Ｍａｉｓｏｎ　Ｂｌａｎｃｈｅ,910-0804,福井市高木中央２丁目510,,福井市指令生衛第20-2-566号,12/17/20,12/31/25
404,飲食店,社交飲食,,Ｌａ Ｖｉｄａ　Ｒｏｓａ,910-0023,福井市順化２丁目７－１８三栄ビル４Ｆ東,0776-89-1396,福井市指令生衛第20-1-140号,7/6/20,4/30/26
405,飲食店営業,その他,バー,Ｌａ　Ｖｉｄａ　Ｒｏｓａ,910-0023,福井市順化２丁目７－１８三栄ビル４階東,0776-89-1396,福井市指令生衛第22-3-164号,8/25/22,4/30/28
406,飲食店,社交飲食,,ＬＡＣｏｏ　ＶＩＰ,910-0023,福井市順化１丁目７－５片町α１ビル３階Ｅ号室,0776-28-5566,福井市指令生衛第20-1-476号,3/31/21,3/31/26
407,飲食店営業,その他,バー,ＬＡＧＯＯＮ,910-0023,福井市順化１丁目１４－２１ＡＬＢＡビル５Ｆ,,福井市指令生衛第23-3-249号,11/13/23,3/31/29
408,飲食店営業,その他,カフェバー,ＬａＶｉｄａＲｏｓａ　Ｌｕｎａ・Ｓｏｌ,910-0006,福井市中央３丁目９－１浜町ビル１・２階,0776-65-8225,福井市指令生衛第22-3-216号,10/18/22,11/30/27
409,飲食店営業,その他,菓子屋,ＬＥ　ＣＯＥＵＲ,910-0804,福井市高木中央３丁目２１０１,0776-43-0255,福井市指令生衛第23-3-168号,9/14/23,12/31/28
410,菓子製造業,菓子製造業,菓子屋,ＬＥ　ＣＯＥＵＲ,910-0804,福井市高木中央３丁目２１０１,0776-43-0255,福井市指令生衛第23-3-169号,9/14/23,12/31/28
411,飲食店営業,仕出し屋・弁当屋,レストラン,Ｌｅ　Ｄｉａｍａｎｔ　Ｒｏｓｅ,918-8057,福井市加茂河原１丁目２―８,0776-33-6751,福井市指令生衛第21-4-3号,6/1/21,5/31/28
412,乳製品製造業,乳製品製造業,,Ｌｅ　Ｄｉａｍａｎｔ　Ｒｏｓｅ,918-8057,福井市加茂河原１丁目２―８,0776-33-6751,福井市指令生衛第21-4-4号,6/1/21,5/31/28
413,飲食店営業,一般食堂・レストラン等,スペイン、フランス料理店,Ｌｅ　ｐｌｕｓ　ｍｕｃｈｏ,918-8016,福井市江端町３６－１７,0776-97-8321,福井市指令生衛第22-4-140号,7/21/22,10/31/27
414,飲食店営業,その他,ワインバー,Ｌｅ　Ｔｒｉｎｑｕｅｒ,910-0023,福井市順化２丁目７－１２,0776-27-3833,福井市指令生衛第23-3-172号,9/13/23,4/30/29
415,飲食店営業,その他,スナック,ＬＥＡＦ,910-0023,福井市順化２丁目２２－１寺木ビル２階　２０３号,0776-27-0227,福井市指令生衛第24-4-426号,2/25/25,4/30/30
416,飲食店,旅館,,Ｌｅｐｉｎ,910-0842,福井市開発３丁目107,0776-53-0121,福井市指令生衛第20-2-541号,11/26/20,12/31/25
417,飲食店営業,その他,ワインバー,ｌｅｓ　ｑｕａｔｒｅ　ｈｏｍｍｅｓ,910-0023,福井市順化１丁目１０－１５サエラビル４０２,,福井市指令生衛第21-3-209号,12/23/21,3/31/27
418,飲食店営業,一般食堂・レストラン等,フランス料理屋,Ｌｅｓ－ｂｏｎｓ－ｃｅｐａｊｅｓ（レ・ボン・セパージュ）,910-0069,福井市舟橋黒竜１丁目２０６,0776-21-5203,福井市指令生衛第21-4-410号,10/28/21,12/31/26
419,飲食店営業,その他,バー,ＬｅｓｏＵｒＩｒｅ,910-0023,福井市順化２丁目２０－１７セレクトシティ片町２Ｆ　２０２,0776-27-6820,福井市指令生衛第23-4-496号,2/8/24,4/30/29
420,飲食店営業,その他,喫茶店,ＬＩＮＫ,910-0006,福井市中央１丁目２２－７ニシワキビル２F,,福井市指令生衛第21-3-288号,2/10/22,11/30/27
421,飲食店営業,その他,カフェ,Ｌｏｇｙ　ＳＴＡＮＤ,910-2148,福井市篠尾町９６－５６－１,0776-41-2446,福井市指令生衛第21-3-68号,7/29/21,7/31/26
